Spring 2005 A2010 status                  last update 05May09 mph
Completed drifts
LST range here comes from daily logs. "Start" refers to start 
time of first of sequential drifts; "stop" means end of last drift
for that observing session. Gaps in data taking are not recorded. 
THIS IS NOT INTENDED TO BE COMPLETE OR ACCURATE!
           PASS #1                                                        PASS #2
Block   Drift    DecJ   start stop                        ||   Block   Drift    DecJ   start stop
0503200  34p1  +080905  1208  1349                        ||   05  
0503211  35p1  +082342  1211  1644                        ||   05
0503212  36p1  +083818  1042  1639                        ||   05
0503220  37p1  +085254  1100  1654                        ||   05           
0502040  38p1  +090730  1240  1633                        ||   0505030  38p2  +091448  0915  1650
0504020  39p1  +092206  1026  1646                        ||   0505040  39p2  +092924  0914  1638   
0503050  40p1  +093642  1109  1622                        ||   0505050  40p2  +094400  1053  1636
0502250  41p1  +095118  0729  1656                        ||   0505060  41p2  +095836  0927  1640
0502200  42p1  +100554  0842  1231    0504100 1337  1649  ||   05
0504030  43p1  +102030  0658  1633                        ||   05
0504040  44p1  +103506  0714  1640                        ||   05
0504050  45p1  +104942  0719  1645                        ||   05
0504060  46p1  +110418  0723  1648                        ||   05
0502160  47p1  +111854  0732  1619                        ||   0504110  47p2  +112612  0738  1634
0502150  48p1  +113330  0808  1619                        ||   05
0502142  49p1  +114806  0756  1714                        ||   05
0502170  50p1  +120242  0704  1620                        ||   05
0502072  51p1  +121718  0826  1640                        ||   05
0502080  52p1  +123154  0829  1635                        ||   05
0502260  53p1  +124630  0726  1612                        ||   05
0502210  54p1  +130106  0711  1634                        ||   05
0502190  55p1  +131542  0842  1445                        ||   05
0502180  56p1  +133018  0755  1338    0503280 1240  1509  ||   05
0502060  57p1  +134454  1122  1535                        ||   05
0502050  58p1  +135930  1123  1620                        ||   05
0502071  59p1  +141406  1116  1640                        ||   05
0502141  60p1  +142842  1118  1538                        ||   0505070  60p2  +143600  0931  1635
0503260  61p1  +144318  1102  1700                        ||   0505080  61p2  +145036  0940  1654
0503250  62p1  +145754  1057  1732                        ||   0505090  62p2  +150512  0934  
0503240  63p1  +151230  1056  1721                        ||   05
0503230  64p1  +152706  1109  1642                        ||   05
0503040  65p1  +154142  1105  1619                        ||   05
0503030  66p1  +155618  1102  1626                        ||   05

Useful but problematic
0503060  ....           1058         fixed ZA=9deg; positions in headers wrong (+27d!!)
