Master list of declinations for 2-pass ALFALFA 

First pass beams spaced by +14.6 arcmin; second pass in between to 
minimize scallopping.

 Drift#   ||  Pass1   Dec(deg)  sddmmss    ||   Pass2     Dec(deg)  sddmmss
          ||                               ||
    1     ||    1p1   0.121667  +000718    ||    1p2      0.243333  +001436
    2     ||    2p1   0.365000  +002154    ||    2p2      0.486667  +002912
    3     ||    3p1   0.608333  +003630    ||    3p2      0.730000  +004348
    4     ||    4p1   0.851667  +005106    ||    4p2      0.973333  +005824
    5     ||    5p1   1.095000  +010542    ||    5p2      1.216667  +011300
    6     ||    6p1   1.338333  +012018    ||    6p2      1.460000  +012736
    7     ||    7p1   1.581667  +013454    ||    7p2      1.703333  +014212
    8     ||    8p1   1.825000  +014930    ||    8p2      1.946667  +015648
    9     ||    9p1   2.068333  +020406    ||    9p2      2.190000  +021124
   10     ||   10p1   2.311667  +021842    ||   10p2      2.433333  +022600
   11     ||   11p1   2.555000  +023318    ||   11p2      2.676667  +024036
   12     ||   12p1   2.798333  +024754    ||   12p2      2.920000  +025512
   13     ||   13p1   3.041667  +030230    ||   13p2      3.163333  +030948
   14     ||   14p1   3.285000  +031706    ||   14p2      3.406667  +032424
   15     ||   15p1   3.528333  +033142    ||   15p2      3.650000  +033900
   16     ||   16p1   3.771667  +034618    ||   16p2      3.893333  +035336
   17     ||   17p1   4.015000  +040054    ||   17p2      4.136667  +040812
   18     ||   18p1   4.258334  +041530    ||   18p2      4.380000  +042248
   19     ||   19p1   4.501667  +043006    ||   19p2      4.623333  +043724
   20     ||   20p1   4.745000  +044442    ||   20p2      4.866667  +045200
   21     ||   21p1   4.988334  +045918    ||   21p2      5.110000  +050636
   22     ||   22p1   5.231667  +051354    ||   22p2      5.353333  +052112
   23     ||   23p1   5.475000  +052830    ||   23p2      5.596667  +053548
   24     ||   24p1   5.718334  +054306    ||   24p2      5.840000  +055024
   25     ||   25p1   5.961667  +055742    ||   25p2      6.083333  +060500
   26     ||   26p1   6.205000  +061218    ||   26p2      6.326667  +061936
   27     ||   27p1   6.448334  +062654    ||   27p2      6.570000  +063412
   28     ||   28p1   6.691667  +064130    ||   28p2      6.813334  +064848
   29     ||   29p1   6.935000  +065606    ||   29p2      7.056667  +070324
   30     ||   30p1   7.178334  +071042    ||   30p2      7.300000  +071800
   31     ||   31p1   7.421667  +072518    ||   31p2      7.543334  +073236
   32     ||   32p1   7.665000  +073954    ||   32p2      7.786667  +074712
   33     ||   33p1   7.908334  +075430    ||   33p2      8.030001  +080148
