LST#1    Map region  07h30m to 16h30m
Note that 15+min before and after required for setup.

Mo  Da  Dayno  LSTMid    ASTrange      LSTrange     AssignAST      LSTcover
12  01  335    04h13   03h17-12h15   07h30-16h30   03h17-06h00   07h30-10h13
12  15  349    05h09   02h21-11h20   07h30-16h30   02h21-06h00   07h29-11h08
 1   1    1    06h16   01h15-10h13   07h30-16h30   01h15-06h00   07h30-12h16
 1  15   15    07h11   00h20-09h18   07h30-16h30   00h20-06h00   07h30-13h13
 1  31   31    08h18   23h13-08h11   07h30-16h30   23h13-06h00   07h30-14h18
 2  14   45    09h13   22h18-07h16   07h30-16h30   22h18-06h00   07h30-15h14
 2  28   59    10h08   21h23-06h21   07h30-16h30   21h23-06h00   07h30-16h09
 3  14   73    11h03   20h28-05h26   07h30-16h30   20h28-05h26   07h30-16h30
 3  31   90    12h10   19h21-04h19   07h30-16h30   19h21-04h19   07h30-16h30
 4  14  104    13h04   18h26-03h28   07h30-16h30   18h26-03h28   07h30-16h30
 4  30  120    14h09   17h23-02h21   07h30-16h30   18h00-02h21   08h07-16h30
 5  14  134    15h04   16h28-01h26   07h30-16h30   18h00-01h26   09h02-15h03
 5  31  151    16h11   15h21-00h19   07h30-16h30   18h00-00h19   10h10-16h10
 6  15  166    17h06   14h22-23h20   07h30-16h30   18h00-23h20   11h09-16h30
 7  01  182    18h09   13h19-22h18   07h30-16h30   18h00-22h18   12h12-16h30 


LST
