#  This table contains all galaxies in the DR7 spectroscopic sample
#
#  IG = 1 for MKW12=Zw1400   2 for background group in same field   otherwise 0
#   T = code for morphological type based on RC3 (20 means not assigned)
# Sep = angular separation from center of MKW12 in degrees
# rmag = rband petrosian magnitude
# rmagc = corrected rband magnitude (for galactic and internal extinction)
# Absmag = Absoluted rband magnitude
# Log L = log of r band luminosity (solar units)
# Log * = log of stellar mass (solar units)
# (u-r)c = corrected color index (u-r)
# disp = velocity dispersion of Halpha line in km/s (over 3 arcsec fiber aperture!0
# EW(Halpha) in Angstroms.
# L(Halpha) in erg/sec (I am not yet happy with this)
# SFR: star formation rate in solar masses per year calculated from EW Halpha and Fcont (I am not yet happy with this)
# Dlin = linear diameter in kpc
# LogMHI = log HI mass (solar units)
# WidC = Corrected HI width (= 2X Vrot)
# LogMdyn = log dynamical mass (solar units)
# AGCnr   RA       Dec      Vcmb   Dist   IG  T    Sep   b/a     incl     rmag  rmagc Absmag  log L  Log *  (u-r)c  disp  EW(Ha)  L(Halpha)  logSFR  Dlin  logMHI  Widc  LogMdyn
238632  207.953    7.688    7052.  100.7  0   6    3.17  0.350   70.7    17.09  16.77 -18.25   9.17   9.14   0.98   72.7   47.4   0.231E+42   0.085  10.30   9.47  166.4  12.70
232436  208.063   11.502   12084.  172.6  0   3    3.38  0.365   71.8    16.95  16.50 -19.69   9.75   9.54   0.93   76.0   46.8   0.362E+42   0.278  13.46   9.77  167.3  13.05
238633  208.076    6.920    7020.  100.3  0   5    3.54  0.547   57.5    17.51  17.33 -17.68   8.94   8.94   1.95   72.9   14.7   0.793E+41  -0.381   9.92   9.28  130.5  12.47
231532  208.085    7.799    7182.  102.6  0   3    3.00  0.786   39.1    14.60  14.46 -20.60  10.11  10.27   1.41   85.6   19.8   0.112E+43   0.770   9.74   9.63  332.8  13.28
238634  208.208    7.257    6834.   97.6  0   4    3.22  0.880   29.0    16.86  16.82 -18.13   9.12   8.98   1.44    0.0    0.0   0.000E+00  -9.990  13.91   9.51  154.7  12.75
230792  208.377   11.343   11556.  165.1  0   5    3.05  0.459   63.5    15.13  14.65 -21.44  10.45  10.57   1.68   66.1    0.6   0.282E+42   0.171  23.40  10.04  368.8  13.96
238635  208.395    6.284    5932.   84.7  0   3    3.81  0.950   18.6    16.35  16.33 -18.31   9.20   9.27   1.70  130.3   12.5   0.188E+42  -0.005  10.78   9.22  263.6  13.04
232158  208.405    8.353    7209.  103.0  0   6    2.47  0.650   50.0    16.96  16.82 -18.24   9.17   9.30   1.26  159.5    7.3   0.127E+42  -0.177  11.33   9.12   91.4  12.23
238636  208.475    9.504    5132.   73.3  0   3    2.20  0.723   44.8    18.88  18.78 -15.55   8.09   7.53   0.03    0.0    0.0   0.000E+00  -9.990   5.82   8.90   63.8  11.48
230801  208.537    9.413    7117.  101.7  0   6    2.14  0.810   36.2    15.27  15.15 -19.89   9.83   9.92   1.72   74.8   11.9   0.125E+43   0.818  20.08   9.58  247.2  13.33
238637  208.565    7.968    7218.  103.1  0   3    2.51  0.301   76.7    16.79  16.42 -18.65   9.33   9.26   0.62   72.4   22.5   0.162E+42  -0.072  10.48   9.62  191.1  12.83
238638  208.596    8.932   12919.  184.6  0   6    2.11  0.574   55.6    18.95  18.78 -17.55   8.89   8.94   1.39    0.0    0.0   0.000E+00  -9.990  12.19   9.74  129.7  12.82
233581  208.611    8.394    7212.  103.0  0   3    2.27  0.286   78.0    15.49  14.79 -20.27   9.98  10.34   1.53   76.6   15.7   0.651E+42   0.534  15.12  10.10  333.3  13.48
238639  208.662    8.341    7423.  106.0  0   3    2.24  0.358   72.4    16.68  16.37 -18.76   9.38   9.06   0.67   73.3  226.0   0.679E+42   0.552   6.03   9.25   44.1  11.33
238640  208.667    9.252    7048.  100.7  0   3    2.01  0.514   61.1    17.51  17.31 -17.71   8.95   8.93   1.35    0.0    0.0   0.000E+00  -9.990  10.64   9.32  171.3  12.74
231014  208.870    6.596    7458.  106.5  0   0    3.28  0.661   50.0    14.57  14.31 -20.83  10.20  10.20   1.17   85.9   67.3   0.196E+43   1.012   9.69   9.55  302.9  13.22
230831  208.936    8.189    7038.  100.5  0   4    2.08  0.566   57.3    14.85  14.50 -20.51  10.08   9.91   0.96   76.8   50.4   0.307E+43   1.208  14.95   9.92  285.2  13.33
238642  208.986    5.927    7554.  107.9  0   3    3.80  0.285   78.0    15.05  14.28 -20.88  10.23  10.41   1.39   91.9    5.8   0.368E+42   0.286  19.94  10.03  404.8  13.79
238644  209.012    8.846    7051.  100.7  0   3    1.74  0.495   62.5    16.70  16.49 -18.53   9.28   9.22   1.17   70.8   22.0   0.243E+42   0.106  10.87   9.38  141.0  12.58
238645  209.078    8.236    7141.  102.0  0   3    1.94  0.236   82.7    16.59  16.15 -18.89   9.43   9.35   1.01   76.2   30.8   0.206E+42   0.034   9.94   9.54  220.8  12.93
233565  209.098   10.102    5169.   73.8  0   3    1.76  0.500   62.1    16.85  16.64 -17.70   8.95   8.62   1.02   74.5   34.6   0.197E+42   0.015   8.27   8.95   83.7  11.87
232440  209.101   11.341    6894.   98.5  0   3    2.55  0.575   56.6    16.81  16.64 -18.33   9.20   9.27   1.29   74.0   75.5   0.179E+42  -0.028   5.41   9.18  170.1  12.43
233583  209.138    8.609    4310.   61.6  0  10    1.70  0.741   43.3    16.94  16.85 -17.10   8.71   8.67   1.42   73.5    4.0   0.314E+41  -0.783   9.37   9.33  173.6  12.48
  8861  209.144   10.191    5153.   73.6  0   6    1.76  0.423   65.9    15.52  15.24 -19.09   9.51   9.42   1.99   72.6   13.6   0.522E+42   0.438  13.97   9.65  224.6  12.95
232305  209.158   10.796   11445.  163.5  0   3    2.11  0.264   79.9    17.13  16.61 -19.46   9.65   9.56   1.19   69.7   10.4   0.176E+42  -0.034  17.03   9.91  343.4  13.75
232306  209.226   10.549   11688.  167.0  0   3    1.90  0.313   75.8    17.61  17.25 -18.86   9.42   9.30   1.02   74.9   12.1   0.585E+41  -0.513  11.03   9.87  263.1  13.34
230861  209.256   10.868    7128.  101.8  0   6    2.09  0.422   66.0    14.99  14.46 -20.58  10.10  10.05   1.62    0.0    0.0   0.000E+00  -9.990  18.99   9.78  274.9  13.40
230866  209.308   11.998    6448.   92.1  0   3    3.00  0.481   63.5    14.01  13.56 -21.26  10.38  10.62   1.80  122.3    7.1   0.468E+42   0.391  13.33   9.56  369.9  13.46
230865  209.330   11.976    6367.   91.0  0   3    2.97  0.973   13.6    14.81  14.79 -20.01   9.87   9.95   1.53   69.5    3.1   0.328E+42   0.235  13.45   9.61  225.0  13.03
232447  209.332   11.569   12174.  173.9  0   3    2.61  0.271   79.2    16.82  16.17 -20.03   9.88   9.63   0.56   76.2   18.1   0.387E+42   0.308  17.91   9.75  292.1  13.66
  8871  209.353    5.949   16335.  233.4  0   3    3.64  0.592   55.3    14.90  14.50 -22.34  10.81  10.95   1.65  104.1    6.0   0.408E+43   1.330  37.23  10.43  431.6  14.45
  8874  209.373    6.097    4633.   66.2  0   3    3.49  0.768   40.8    12.59  12.41 -21.69  10.55  10.82   2.10  109.8   45.1   0.182E+44   1.980  19.56   9.88  402.4  13.56
231575  209.448    7.396    7337.  104.8  0   3    2.30  0.772   40.4    13.68  13.51 -21.59  10.51  10.82   2.54  119.7    2.0   0.727E+42   0.581  20.73   9.27  296.0  13.52
  8878  209.456    9.873    7077.   98.4  2   3    1.34  0.609   54.1    13.52  13.20 -21.77  10.58  10.83   1.86   94.6   25.5   0.613E+43   1.508  21.84   9.80  148.2  12.91
231576  209.467    7.413    4939.   70.6  0   3    2.27  0.334   74.2    15.08  14.58 -19.66   9.74  10.00   1.68   77.8   30.2   0.587E+42   0.488   8.41   9.02  176.7  12.51
