# AGC ra dec z zerr petroR90_r petroR50_r expAB_r petroMag_u petroMag_g petroMag_r petroMag_i petroMag_z lnLExp_r lnLDeV_r isoA_r isoPhi_r sigma sigmaErr ew ewErr chisq nu zWarning objID sepagc
# sepagc is separation between AGC position and DR7 position in arcsec
238632 207.95208740  7.68804455 0.022606 0.8424E-04  10.55   4.88 0.350 18.513449 17.588768 17.178139 17.108774 17.474535 -.473264E+02 -.408812E+03    38.69   53.05     1.592391     0.024414    47.39144135    0.67328900   45.42203903     6     0 587736525907034357    3.17
232436 208.06277466 11.50184441 0.039484 0.7675E-04   8.04   2.76 0.365 18.443369 17.339298 17.039473 16.859684 16.861328 -.482580E+03 -.120381E+03    28.74  148.84     1.663724     0.014648    46.78335571    0.56655997   35.13311386     6 65536 588017703479410761    0.60
238633 208.07608032  6.91979504 0.022715 0.1217E-03  10.20   5.52 0.547 19.782179 17.977100 17.598461 17.796194 17.562469 -.657649E+02 -.276580E+03    30.59   22.88     1.596099     0.073242    14.71295547    0.56513399    8.26022434     6  4096 588017725484237130    0.65
231532 208.08493042  7.79947424 0.023107 0.8900E-04   9.79   4.21 0.786 16.308296 15.204999 14.689106 14.428826 14.251778 -.249028E+04 -.128262E+05    41.96  155.15     1.872947     0.014648    19.81956673    0.21902400   61.63658905     7     0 588017726557978704    0.29
238634 208.20851135  7.25671434 0.000000 0.0000E+00  14.70   7.20 0.880 18.498325 17.138096 16.945097 16.800804 17.128527 -.442637E+02 -.141599E+03    32.60  147.92     0.000000     0.000000     0.00000000    0.00000000    0.00000000     0    -9 587736525370294579    0.00
230792 208.37715149 11.34372807 0.037738 0.1688E-03  14.62   6.54 0.459 17.384708 15.810919 15.210108 14.890964 14.795425 -.200257E+04 -.668946E+04    62.27   38.64     1.448097     0.302734     0.61459798    0.11118700   42.69930267    14     0 588017703479541773    2.23
238635 208.39500427  6.28353500 0.019259 0.2445E-03  13.12   6.62 0.950 18.221907 16.815533 16.431078 16.332794 16.256796 -.544471E+02 -.748780E+03    36.02  165.93     2.851887     0.169888    12.54689503    0.47455800  624.54040527    15     0 587736524296683789    0.28
232158 208.40534973  8.35327244 0.023682 0.2731E-02  11.34   6.45 0.650 18.490761 17.523462 17.040066 17.346525 17.342327 -.252654E+01 -.335830E+02    30.01   85.45     3.490624     0.504504     7.34906483    0.89749599  121.27496338    18  4112 587736541478453439    3.30
238636 208.47555542  9.50460720 0.000000 0.0000E+00   8.19   4.12 0.723 19.160261 18.806608 18.964993 19.053112 19.461134 -.298047E+01 -.115868E+02    17.65  155.05     0.000000     0.000000     0.00000000    0.00000000    0.00000000     0    -9 588017991765262773    0.00
230801 208.53656006  9.41273785 0.023101 0.1979E-03  20.36   9.92 0.810 17.267582 15.801128 15.359387 15.218554 15.333606 -.462451E+03 -.284134E+04    59.71   97.09     1.637769     0.043945    11.86541939    0.27983600   99.23169708    14     0 588017991765262510    0.41
238637 208.56539917  7.96747160 0.023227 0.8852E-04  10.48   4.46 0.301 17.894068 17.260717 16.871584 16.744967 16.685324 -.456298E+02 -.952459E+03    37.66  152.76     1.585198     0.024414    22.53027153    0.37077001   37.46596527     7     0 587736526444167304    0.12
238638 208.59614563  8.93238735 0.000000 0.0000E+00   6.81   2.87 0.574 20.653084 19.460409 19.038626 18.429493 18.582901 -.135639E+00 -.363182E+01    14.10  145.98     0.000000     0.000000     0.00000000    0.00000000    0.00000000     0    -9 587736542015390109    0.00
233581 208.61122131  8.39386559 0.023206 0.1199E-03  15.14   5.97 0.286 17.781866 16.476597 15.572651 15.290345 15.113115 -.120144E+04 -.445618E+04    56.60  161.46     1.676929     0.024414    15.67875290    0.21212199   44.75153732     7     0 587736541478519037    0.14
238639 208.66226196  8.34115887 0.023909 0.3686E-04   5.87   2.38 0.358 17.788212 16.912371 16.769981 16.697924 16.585112 -.330345E+03 -.747205E+03    24.97  102.84     1.603534     0.004883   225.95277405    1.75240099   45.78854370     6    16 587736541478584332    0.67
238640 208.66740417  9.25239658 0.000000 0.0000E+00  10.90   4.79 0.514 19.205915 17.964970 17.598560 17.535835 17.523849 -.161528E+01 -.914610E+02    26.77  160.12     0.000000     0.000000     0.00000000    0.00000000    0.00000000     0    -9 587736542552260976    0.00
231014 208.86975098  6.59644604 0.024082 0.8981E-04   9.38   2.97 0.661 16.114195 15.055079 14.650290 14.460969 14.341561 -.159730E+05 -.133804E+04    52.71   25.53     1.881240     0.004883    67.30965424    0.51435798   57.94434357     6     0 588017724947759115    0.63
230831 208.93632507  8.18928909 0.022636 0.8113E-04  15.34   6.62 0.566 16.272785 15.224900 14.935325 14.760030 14.883066 -.293651E+04 -.479059E+04    61.35  151.27     1.682000     0.004883    50.35040665    0.43438199   88.24138641     6    32 588017990154846296    1.85
238642 208.98576355  5.92659998 0.024414 0.1916E-03  19.06   6.77 0.285 17.278391 15.911888 15.138810 14.743350 14.464279 -.474816E+04 -.180496E+04    96.88   91.93     2.011523     0.043945     5.80425501    0.12844400   11.40856647     6     0 587736523760074920    0.36
238643 208.99320984  8.99429703 0.000000 0.0000E+00   1.99   1.04 0.168 23.189604 24.868042 22.135382 21.635082 20.386917 -.239493E-07 -.253217E-06     4.52   58.99     0.000000     0.000000     0.00000000    0.00000000    0.00000000     0    -9 588017991228588256    0.00
238644 209.01283264  8.84593487 0.022675 0.8745E-04  11.13   5.69 0.495 18.223412 17.120796 16.788069 16.859484 17.409285 -.956962E+02 -.583603E+03    37.35   42.01     1.550257     0.024414    22.04458809    0.41057301   48.13008118     6     0 587736542015586455    1.81
238645 209.07852173  8.23571205 0.022999 0.9229E-04  10.05   3.71 0.236 18.153812 17.086370 16.678885 16.463409 16.295769 -.151311E+03 -.877261E+03    47.63  160.43     1.668867     0.014648    30.80952072    0.36653501  125.43131256     6     0 588017990154911937    0.86
233565 209.09756470 10.10381603 0.016532 0.1116E-03  11.55   5.84 0.500 18.218185 17.028185 16.937866 16.686121 16.826809 -.563639E+02 -.290417E+03    34.84  157.01     1.631089     0.034180    34.60085297    0.66368800   20.79626083     7 65536 587736543626199063    7.74
232440 209.10069275 11.34131908 0.022026 0.8174E-04   5.66   2.18 0.575 18.410624 17.337460 16.897163 16.720186 16.582548 -.519505E+03 -.360225E+03    21.06  170.71     1.619138     0.014648    75.53280640    0.78294897   14.41540146     6 65568 588017703479804034    0.55
233583 209.13781738  8.60922813 0.013500 0.3117E-03  15.69   7.46 0.741 18.601603 17.328421 17.023109 16.861830 17.085546 -.410347E+02 -.303122E+03    33.86   15.62     1.608635     0.249023     4.04254723    0.53930598   22.26287460    17  4624 588017990691782903    0.39
