agcnum      ra     dec    
102571    0.0721  27.40083     
102728    0.0892  31.02194
102729    0.1333  30.86917
102730    0.1646  31.93833
103567B   0.2775  32.37917
102735B   0.5054  30.98278
100013    0.8408  30.78194
100783    0.9479  31.34361
100022    1.1138  22.34917
100784    1.1458  31.71334
102737B   1.2192  29.87972
102738    1.2608  30.08861
102243    1.2708  23.96972
102739    1.2758  31.09417
102554    1.3138  27.48972
102555    1.3300  26.51944
102741    1.3717  31.86194
100037    1.5113  27.34833
102622    1.7150  24.22500
102558    1.7696  27.02444
102623    1.8229  25.08694
102743    1.8304  31.30444
102744    1.9225  29.91000
102559    1.9542  27.50889
104565    2.0013  35.34889
101097    2.0996  33.02833
100952    2.1279  34.78611
102561    2.2346  26.23861
101782    2.3371  30.66667
102562    2.3750  26.33389
102625    2.3979  25.55305
101063    2.5783  29.13778
102563    2.5925  27.75778
102626    2.6496  24.36417
102840    2.8258  29.97611
102903    2.8504  29.27139
102682    2.9054  25.55944
102749    2.9058  30.29083
102750A   3.0388  30.26833
100083    3.0658  28.64889
102751    3.0679  31.75306
102904    3.2042  28.80556
101830    3.2946  29.90222
102630    3.3025  25.60389
102631    3.3067  24.82056
102632    3.3162  24.25444
102905    3.4600  29.35472
102753    3.4692  30.93361
102633    3.4950  23.96861
102603B   3.5371  26.59278
102906    3.6475  29.41028
102566    3.7404  26.26361
102634    4.0038  25.06222
102635    4.0504  24.84917
101690    4.1050  30.47972
100124    4.1075  27.57361
102754    4.1100  31.63667
102755    4.1229  30.95500
102636    4.2358  24.08000
102756    4.2658  31.57056
100136    4.2688  22.99833
101815    4.3058  27.24806
102907    4.4429  28.74944
102846    4.4521  30.61528
103324    4.5925  22.90306
102638    4.6504  24.44861
102760G   4.7000  30.09722
102639    4.7308  24.16306
102908    4.7358  28.22583
102953    4.7617  29.05611
102761    4.9329  30.05722
102847    4.9700  29.84417
102909    5.1788  29.02639
102954    5.1850  29.78361
102910    5.2038  29.41055
102762    5.2188  31.48333
102955A   5.3038  29.52611
101816    5.3129  26.38500
103328    5.3250  22.53333
102911    5.3737  28.91250
102912    5.3983  28.45028
102763A   5.4442  30.08278
100841    5.5054  23.82556
102913    5.5071  29.29333
102684    5.5283  25.48583
102249    5.5379  27.04389
102251    5.6062  25.96389
102252    5.6192  27.17306
102915    5.6721  29.21639
102294    5.7250  26.12222
102767    5.9342  31.24333
102768    5.9658  30.86222
102769    5.9829  30.78889
102645    5.9938  25.17750
102646    6.0038  24.08389
102916    6.0533  29.13889
102771    6.3175  31.22944
101770    6.3617  21.60389
102956    6.3929  29.52667
102917    6.4292  29.57778
102918    6.5033  29.28944
102772    6.5633  29.81361
102648    6.6075  25.51472
102649    6.7308  25.81528
102650    6.7833  24.42861
102226    6.9308  30.65583
102919    6.9867  29.60139
102652    7.0267  24.35278
102653    7.3129  25.41306
102692    7.4662  24.74306
102655    7.5567  24.29972
102778    7.5979  31.19667
101820    7.7146  27.39000
102657    8.1154  24.83167
102983    8.4067  28.73917
104543    8.5175  36.17445
102260    8.5183  26.30472
102782    8.5258  29.94722
102658    8.5642  25.02889
102783    8.6996  31.70833
102261    8.9350  26.61583
102262    9.1233  26.90472
101010    9.1871  20.60639
102853    9.4167  31.07472
100350    9.4338  24.20778
102661    9.5004  25.56833
102229    9.6000  25.43611
101821    9.6346  26.34639
102924    9.6808  28.48056
102788    9.7917  31.85056
102663    9.8275  24.72861
102263    9.8317  26.76167
102299    9.8658  26.07472
102265    9.8725  27.71750
102789   10.0767  31.11139
101822   10.1521  27.05028
102228   10.1533  30.66278
102790   10.1533  30.55528
102266   10.1771  26.02972
102791   10.2404  31.90639
102792   10.3904  31.75333
102793   10.4150  31.26694
102664   10.5267  25.33195
102267   10.5850  27.16389
102794   10.5900  29.93444
102665   10.6104  25.18361
102927   10.6379  29.16750
102666   10.7921  24.48917
102795B  10.8942  30.59694
100489   10.9913  26.14722
102855B  11.0179  30.35750
102269   11.0558  26.62500
102667   11.0700  25.76583
101223   11.0867  23.83333
102668   11.1483  25.68722
102928   11.1550  29.33028
102929   11.3092  28.74972
102965   11.3242  27.97222
102670   11.3263  24.14472
102273   11.5896  27.07528
102672   11.6000  25.07056
102931   11.6021  29.65667
101825   11.6162  26.69194
103549   11.6650  21.57695
102932   11.7092  28.84639
102291   11.8346  27.46639
102274   11.8350  26.02972
102966A  11.8354  29.87972
102803   11.8554  30.74250
102933   11.8650  28.17750
101826   11.9067  26.80556
102934   12.0417  28.50583
102804   12.0883  30.61750
102857   12.1008  31.57417
102673   12.1721  24.58417
102936   12.1813  28.47167
102805   12.2300  31.78944
102937   12.2379  29.06278
102292   12.2558  27.75556
102275   12.3079  27.61278
102674   12.3100  25.29305
102879   12.3504  31.90611
102938   12.3571  29.47083
102968   12.3658  28.35528
102969   12.3950  28.73917
102276   12.4671  25.94417
102806   12.5033  30.13000
102278   12.5783  27.47139
104153   12.6508  32.35139
102808   12.6596  32.10500
102809   12.7408  31.74972
102700   12.7792  25.54611
101828   12.8525  27.26722
102810   12.9450  31.20333
102811   13.0917  31.44222
102812   13.1517  32.05889
101692   13.1671  32.21611
102940   13.2288  29.56444
102941   13.2304  29.40528
102282   13.3275  25.91194
102815   13.3363  31.71194
100725   13.3783  28.27695
102816   13.4058  31.57417
102283   13.4442  27.06333
102817   13.4704  30.22750
101042   13.5108  25.80167
102676   13.5733  25.43750
102284   13.6296  26.58333
