Table name: /home/web/research/projects/egg/alfalfa/ugradteam/groups/files/a57_1245wOC.full.csv
+--------+-----------+----------+------+-------+------+-------+-------+------+------+------+-------+
| agcnum | ra        | dec      | hv50 | hverr | iw50 | iwerr | sintp | serr | sn   | rms  | icode |
+--------+-----------+----------+------+-------+------+-------+-------+------+------+------+-------+
| 232218 | 201.855   | 11.88361 | 7068 | 14    | 324  | 29    | 0.75  | 0.09 | 4.3  | 2.12 | 2     |
| 232504 | 202.08417 | 12.76222 | 7414 | 1     | 172  | 3     | 1.23  | 0.08 | 8.5  | 2.22 | 1     |
| 232507 | 202.14917 | 12.06556 | 7040 | 19    | 260  | 37    | 0.99  | 0.11 | 4.9  | 2.85 | 2     |
| 230351 | 202.16708 | 12.71083 | 7480 | 3     | 159  | 7     | 1.47  | 0.08 | 10.4 | 2.31 | 1     |
| 232392 | 202.2179  | 11.75583 | 7151 | 2     | 204  | 3     | 1.48  | 0.08 | 10.1 | 2.3  | 1     |
| 230356 | 202.2675  | 12.23778 | 7258 | 5     | 405  | 10    | 1.93  | 0.11 | 9.0  | 2.24 | 1     |
| 232509 | 202.29167 | 12.76889 | 7127 | 62    | 345  | 125   | 1.08  | 0.1  | 5.9  | 2.19 | 2     |
| 8475   | 202.35751 | 11.00778 | 6835 | 1     | 591  | 2     | 18.73 | 0.16 | 52.8 | 2.68 | 1     |
| 230366 | 202.37834 | 11.74556 | 7709 | 10    | 58   | 21    | 0.41  | 0.06 | 5.3  | 2.29 | 2     |
| 230367 | 202.39792 | 11.69722 | 6549 | 7     | 117  | 14    | 0.88  | 0.1  | 6.9  | 2.64 | 2     |
| 232407 | 202.46083 | 11.35    | 6740 | 28    | 256  | 55    | 1.0   | 0.09 | 6.3  | 2.24 | 2     |
| 8486   | 202.48666 | 11.07194 | 6752 | 7     | 258  | 14    | 1.82  | 0.1  | 10.9 | 2.33 | 1     |
| 233636 | 202.56332 | 12.84222 | 7710 | 6     | 267  | 13    | 1.33  | 0.1  | 6.9  | 2.53 | 1     |
| 233873 | 202.55751 | 11.54389 | 6681 | 6     | 199  | 11    | 0.74  | 0.08 | 5.4  | 2.16 | 2     |
| 233637 | 202.58875 | 12.48361 | 7197 | 2     | 51   | 3     | 0.51  | 0.05 | 6.2  | 2.09 | 1     |
| 230380 | 202.66626 | 11.59472 | 7244 | 4     | 303  | 9     | 1.12  | 0.1  | 5.9  | 2.45 | 2     |
| 233738 | 202.70792 | 11.82944 | 7034 | 18    | 136  | 36    | 0.52  | 0.07 | 4.8  | 2.23 | 4     |
| 232292 | 202.76584 | 11.02667 | 7335 | 4     | 28   | 8     | 0.51  | 0.06 | 10.2 | 2.08 | 2     |
| 230389 | 202.84125 | 10.72583 | 6304 | 3     | 269  | 5     | 2.62  | 0.1  | 15.1 | 2.36 | 1     |
| 232410 | 202.87959 | 11.97139 | 8066 | 13    | 65   | 26    | 0.37  | 0.05 | 4.4  | 2.31 | 5     |
| 232412 | 202.97708 | 11.80667 | 6965 | 5     | 48   | 10    | 0.48  | 0.05 | 7.5  | 2.06 | 2     |
| 230407 | 203.12376 | 12.8175  | 7521 | 1     | 145  | 1     | 1.68  | 0.08 | 11.8 | 2.38 | 1     |
| 232414 | 203.26875 | 11.07583 | 8205 | 30    | 177  | 59    | 0.72  | 0.08 | 5.1  | 2.36 | 2     |
| 230417 | 203.32834 | 11.11694 | 7612 | 1     | 132  | 1     | 1.86  | 0.07 | 15.4 | 2.35 | 1     |
+--------+-----------+----------+------+-------+------+-------+-------+------+------+------+-------+
