Table name: /home/web/research/projects/egg/alfalfa/ugradteam/groups/files/agc+nsa.v012.mags+lines.appmags+faceHalpha.csv.gz
+--------+-----------+----------+-------------+--------+------------+---------------------+--------------------+---------------------+------------------------+
| AGCnr  | radeg     | decdeg   | Z           | NSAID  | ABSMAG_i   | g-i                 | vhelio             | logN2toHalpha       | logO3toHb              |
+--------+-----------+----------+-------------+--------+------------+---------------------+--------------------+---------------------+------------------------+
| 232374 | 201.59167 | 11.9725  | 0.022563497 | 70669  | -17.265003 | 0.6396119999999996  | 6764.355892623999  | -0.5640349769877522 | 0.10534546310576062    |
| 232381 | 201.92166 | 11.34083 | 0.022583876 | 70540  | -17.180378 | 0.833202            | 6770.465353791999  | -0.8459938556401158 | 0.3459012080230274     |
| 232502 | 201.96083 | 12.45333 | 0.021761954 | 70677  | -17.11427  | 0.6910769999999999  | 6524.059713568     | -0.8028412566093055 | 0.09394828646374326    |
| 232383 | 202.01999 | 11.69361 | 0.022950908 | 70651  | -18.984158 | 0.9931680000000007  | 6880.498611135999  | -1.403488738252267  |                        |
| 232287 | 202.03833 | 10.97139 | 0.023922391 | 70658  | -17.875736 | 0.6925449999999991  | 7171.741442672001  | -0.5927598288195535 | -0.04416440028469017   |
| 232386 | 202.16666 | 11.99333 | 0.023287086 | 70595  | -19.469284 | 1.0115359999999995  | 6981.282086112     | -0.6724789842044108 | 0.47067961632482086    |
| 230353 | 202.17831 | 11.625   | 0.024734378 | 70650  | -18.67738  | 0.9908599999999979  | 7415.168649376001  | -0.5062592020233029 | -0.8232567148410596    |
| 232392 | 202.2179  | 11.75583 | 0.023866156 | 171004 | -20.431505 | 0.5318640000000023  | 7154.882639552     | -0.7169660119170814 | 0.07343605330902415    |
| 232290 | 202.26001 | 10.91556 | 0.023709245 | 70653  | -16.978384 | 0.5110109999999999  | 7107.8419770400005 | -0.8030692800689719 | 0.21847526322572658    |
| 232512 | 202.32834 | 12.66028 | 0.024922853 | 70684  | -16.722208 | 0.4196479999999987  | 7471.671946576     | -1.0906771263106356 | 0.4838560317853551     |
| 232403 | 202.35542 | 12.04445 | 0.022876352 | 70693  | -19.435003 | 1.1209749999999978  | 6858.147318784     | -0.6178838874333428 | 0.1147494117585979     |
| 230365 | 202.35709 | 11.91    | 0.021861613 | 163584 | -19.870243 | 0.9414459999999991  | 6553.9366844959995 | -0.5082807357691538 | -0.4856289654810508    |
| 232224 | 202.40167 | 11.81389 | 0.026233481 | 70703  | -19.613344 | 0.8698730000000019  | 7864.587735952     | -0.536433336411816  | -0.5698535365516493    |
| 232291 | 202.53999 | 10.95667 | 0.024108209 | 70614  | -17.137213 | 0.7239429999999984  | 7227.448192528     | -0.5987132173577395 | -0.386974761279718     |
| 233873 | 202.55751 | 11.54389 | 0.022225924 | 70618  | -17.535881 | 0.516058000000001   | 6663.154207808     | -0.5969723841893063 | -0.0029001190421427676 |
| 230381 | 202.69749 | 11.20167 | 0.021749107 | 163615 | -21.514761 | 1.1088050000000003  | 6520.208285744     | -0.9781340281650821 | 0.16065666787028265    |
| 232524 | 202.70209 | 12.27444 | 0.025568696 | 70710  | -16.821346 | 0.18308799999999792 | 7665.2905112319995 | -1.4720967431267893 | 0.6465983157147841     |
| 232279 | 202.75041 | 11.52694 | 0.022568688 | 70612  | -17.840687 | 0.348552999999999   | 6765.912112896     | -0.6933189445405867 | 0.16922795199099455    |
| 232292 | 202.76584 | 11.02667 | 0.02432882  | 70606  | -17.939274 | 0.5465940000000025  | 7293.58560544      | -0.7370629809632853 | 0.14757327901796305    |
| 232409 | 202.7925  | 11.83306 | 0.025030907 | 70713  | -17.915457 | 0.5845239999999983  | 7504.065671344     | -0.6540767962795921 | 0.16452399469541       |
| 232412 | 202.97708 | 11.80667 | 0.023298405 | 70724  | -17.674055 | 0.580679            | 6984.675431760001  | -0.7573852344791202 | 0.1993842016286227     |
| 232532 | 203.02585 | 12.75972 | 0.026650121 | 70709  | -17.770319 | 0.23358200000000195 | 7989.493074831999  | -0.9661713821860914 | 0.35204743738286914    |
| 233874 | 203.25626 | 12.05194 | 0.025109787 | 70745  | -16.82167  | 0.5540459999999996  | 7527.713264304     | -0.7161462219845109 | 0.0804625457235347     |
| 232414 | 203.26875 | 11.07583 | 0.02736119  | 70597  | -17.554907 | 0.6488550000000011  | 8202.66587248      | -0.7963556808483895 | 0.3083263710444226     |
+--------+-----------+----------+-------------+--------+------------+---------------------+--------------------+---------------------+------------------------+
