# agcnum ra        dec      hv50 hverr iw50 iwerr sintp serr sn   rms  icode
  220374 184.93333 9.14861  5865 14    211  27    1.86  0.09 12.6 2.27 1    
  7383   185.00542 8.60722  7374 2     294  3     8.31  0.11 42.6 2.54 1    
  220401 185.11125 9.42417  7534 16    111  32    0.54  0.08 3.9  2.96 5    
  220405 185.13873 9.85333  5896 0     342  1     2.86  0.08 19.5 1.77 1    
  223471 185.35376 9.62083  6375 4     126  7     0.64  0.05 6.6  1.91 1    
  224354 185.50041 10.18056 7303 4     62   8     0.93  0.05 14.0 1.89 1    
  226132 185.50584 10.42778 6471 0     96   1     0.7   0.06 6.7  2.38 1    
  7430   185.53041 8.99028  5837 1     59   2     3.42  0.06 45.0 2.19 1    
  220495 185.89458 9.64833  6484 10    104  20    2.08  0.1  19.3 2.35 1    
  220509 186.04208 9.23583  7125 6     55   12    0.65  0.06 9.1  2.17 1    
  220530 186.20416 8.80028  7197 3     157  7     0.79  0.07 6.5  2.18 1    
  224445 186.33167 9.14556  7284 52    391  105   1.29  0.13 5.3  2.73 2    
  220551 186.41417 8.91222  6902 12    236  24    1.37  0.09 9.0  2.22 1    
  220557 186.46167 8.92056  7583 7     227  14    1.29  0.11 7.7  2.46 1    
  226346 186.52333 8.45028  7690 8     136  16    0.66  0.08 5.1  2.48 2    
  229035 186.55333 10.05972 7745 4     99   9     0.5   0.05 5.8  1.91 1    
  227931 186.58459 9.92556  7720 3     113  7     0.63  0.05 6.7  1.96 1    
  7535   186.61751 9.01944  7254 4     217  8     0.92  0.1  5.5  2.53 2    
  224450 186.78291 9.21917  7613 3     163  6     1.5   0.09 11.1 2.37 1    
  226358 186.81583 8.60944  7150 4     77   8     0.57  0.05 6.7  2.15 1    
  713002 186.86749 9.32306  7227 10    116  20    0.92  0.08 7.6  2.49 1    
  224454 186.92458 9.60806  7389 1     68   2     1.04  0.06 12.9 2.17 1    
  229039 187.03166 8.43083  7392 6     138  12    0.69  0.07 5.8  2.25 4    
