Table name: /home/web/research/projects/egg/alfalfa/ugradteam/groups/files/agc+nsa.v012.mags+lines.appmags+faceHalpha.csv.gz
+--------+-----------+----------+-------------+--------+------------+------------+--------------------+---------------------+--------------------+---------------------+----------------------+
| AGCnr  | radeg     | decdeg   | Z           | NSAID  | ABSMAG_i   | SERSIC_BA  | appmag_i           | g-i                 | vhelio             | logN2toHalpha       | logO3toHb            |
+--------+-----------+----------+-------------+--------+------------+------------+--------------------+---------------------+--------------------+---------------------+----------------------+
| 225009 | 184.96542 | 8.54806  | 0.024315102 | 67303  | -17.148947 | 0.28965122 | 17.897093663870358 | 0.6928260000000002  | 7289.473058784     | -0.7412149255798696 | 0.07582639101826114  |
| 224499 | 185.11667 | 9.40778  | 0.025864419 | 49012  | -17.074718 | 0.3895402  | 18.10918396882125  | 0.8474350000000008  | 7753.945900848     | -0.514317919594446  | -0.6231839465888597  |
| 224422 | 185.14041 | 9.46528  | 0.0251787   | 48884  | -17.094584 | 0.2987253  | 18.03000746840239  | 0.7762380000000029  | 7548.3728304       | -0.5476169547252703 | -0.11096209684217648 |
| 224424 | 185.29625 | 9.79945  | 0.025769781 | 49008  | -17.182814 | 0.30604145 | 17.993573251019093 | 0.6424489999999992  | 7725.574185552     | -0.8220277788647466 | 0.2444155205667292   |
| 224354 | 185.50041 | 10.18056 | 0.024358453 | 48940  | -17.47754  | 0.6868412  | 17.574950361989274 | 0.5879960000000004  | 7302.469341776     | -0.6368708831181404 | -0.9084873265101612  |
| 220453 | 185.58417 | 9.03389  | 0.01934676  | 161604 | -17.226368 | 0.83230835 | 17.373035072183207 | 0.3302460000000025  | 5800.00387392      | -0.6484167497927132 | 0.605457310750573    |
| 224503 | 185.60834 | 10.35333 | 0.025262542 | 48943  | -17.579206 | 0.46864387 | 17.55411879687336  | 0.8614250000000006  | 7573.507991263999  | -0.6499339354993692 | -0.12646414532791672 |
| 222717 | 185.6275  | 10.38722 | 0.021631509 | 48941  | -17.09424  | 0.3129828  | 17.70232167704983  | 0.6347439999999978  | 6484.953346128     | -0.7570735967528716 | 0.2158113765494015   |
| 222719 | 185.71625 | 10.30306 | 0.024006523 | 48944  | -17.858418 | 0.33176097 | 17.162147260838594 | 0.7646319999999989  | 7196.963543215999  | -0.5284853765934937 | -0.30516886576364344 |
| 222727 | 185.84792 | 10.29917 | 0.02732115  | 49035  | -17.89204  | 0.86224544 | 17.41426849400548  | 0.6871369999999999  | 8190.6622007999995 | -0.5799384122486099 | -0.3217578187523794  |
| 224436 | 185.90625 | 9.68583  | 0.02154667  | 48873  | -16.607025 | 0.28071705 | 18.182137544986784 | 0.4558579999999992  | 6459.5192926400005 | -0.8514453018791862 | 0.2508099839791779   |
| 224437 | 185.95958 | 9.10944  | 0.024475547 | 49006  | -18.393162 | 0.6386836  | 16.668595656222333 | 0.73217             | 7337.573186224     | -0.5549198803797952 | -0.04390722393422663 |
| 224439 | 185.96666 | 9.60083  | 0.023346106 | 48993  | -17.140747 | 0.26782513 | 17.81716917495837  | 0.5700700000000012  | 6998.9758099519995 | -0.7202509088712228 | 0.053539046581772394 |
| 225855 | 186.11333 | 9.27417  | 0.023533024 | 48986  | -18.558475 | 0.17966634 | 16.41667257135225  | 1.13861             | 7055.012331008     | -1.0721834849510712 | 0.16823658613892728  |
| 224445 | 186.33167 | 9.14556  | 0.024524182 | 48979  | -18.459188 | 0.3685261  | 16.607155140106237 | 0.7156629999999993  | 7352.153570144     | -0.5473517731689861 | -0.11397594905082428 |
| 220551 | 186.41417 | 8.91222  | 0.022999732 | 170502 | -18.784122 | 0.51707596 | 16.139857897781592 | 0.5422820000000002  | 6895.135655743999  | -0.5019544158588365 | -0.1422486364295811  |
| 222738 | 186.63167 | 9.12306  | 0.024134796 | 49106  | -20.392042 | 0.51146185 | 14.638978140902543 | 1.1899869999999986  | 7235.418762432     | -0.9101484385869902 | 0.5463875755048233   |
| 224505 | 186.67    | 9.01472  | 0.023937654 | 48968  | -18.321526 | 0.86320114 | 16.691204528555026 | 0.4395530000000001  | 7176.317167968     | -0.6334790905219935 | -0.11411043894038965 |
| 224449 | 186.73459 | 9.54445  | 0.025169432 | 49104  | -19.689152 | 0.440001   | 15.435323815636112 | 0.9708649999999999  | 7545.594358144     | -0.6923825853142879 | 0.1816363123865702   |
| 226358 | 186.81583 | 8.60944  | 0.023932816 | 67420  | -18.18668  | 0.63191134 | 16.825082122840897 | 0.43912500000000065 | 7174.866774272     | -0.7546407349176232 | 0.15415723794048028  |
| 224452 | 186.87042 | 9.09639  | 0.025449343 | 48964  | -18.157164 | 0.4170177  | 16.991201820068213 | 0.9390640000000019  | 7629.509436656     | -0.8213590562284178 | 1.1069651929338888   |
| 224453 | 186.90042 | 9.20028  | 0.025293322 | 49101  | -16.762484 | 0.43061304 | 18.37244038511168  | 0.40955999999999904 | 7582.735589024     | -0.702236852762667  | 0.21072707890528727  |
| 224456 | 186.99707 | 9.90611  | 0.02515383  | 49052  | -17.264963 | 0.6966108  | 17.858738652877523 | 0.5606330000000028  | 7540.917003359999  | -0.5979608183405397 | 0.22700491235662662  |
+--------+-----------+----------+-------------+--------+------------+------------+--------------------+---------------------+--------------------+---------------------+----------------------+
