This is the "approximate" schedule for A2707 for 13.01.14p (Mon afternoon UAT demo run)
Note: the azimuth is the **source Az** not the dome Az.
Numbers are **APPROXIMATE** only!!!

Assumes: 3 minute ON-OFF pairs 
         Assuming here that run is scheduled to start at 22h25 LST with ~2 min slew.

Source name          RA       Dec       HA    SrcAz     SrcZA    LST        slew
----------------   ------    -----    -----   ------    -----   ------      ----      
H215040.4+283617   327.67    28.59     8.33   324.87    12.77   22h27m      
H222353.2+305630   335.98    30.94     2.74   349.37    12.84   22h36m      1.2m
A222337.0+305124   335.90    30.86     5.11   340.65    13.34   22h45m      0.5m
A222354.3+305446   335.98    30.91     7.17   334.02    14.15   22h53m      0.5m
A222403.4+305720   336.01    30.96     9.26   328.12    15.15   23h02m      0.6m
HVC103-29          352.91    31.12    -5.50   380.24    13.71   23h12m      2.3m
H233848.8+241350   354.72    24.23    -4.72    35.93     7.35   23h23m      2.8m
H233833.9+250751   354.65    25.13    -1.94    14.52     7.02   23h32m      1.1m
H234349.5+255219   355.96    25.87    -0.99     6.76     7.58   23h40m      0.5m
H235426.6+290341   358.62    29.06    -1.52     7.12    10.81   23h50m      1.5m
H000207.2+292130     0.53    29.36   358.94     4.83    11.06   23h58m      0.3m
H003336.8+284425     8.41    28.74   353.13    29.89    12.15   00h07m      1.2m
