# agcnum   radeg      decdeg    vhel    sepmin    
  230055   196.2567   12.0678   10912   359.85    
  232319   196.3508   11.1364   14573   356.6801  
  232457   196.4054   12.155    16409   351.3601  
  232320   196.4121   11.9747   17777   350.5754  
  232458   196.4404   12.0525   10881   349.0429  
  232321   196.4813   11.2236   16256   348.458   
  232459   196.5271   12.5258   16358   346.1284  
  232322   196.5308   11.2286   16465   345.5247  
  232323   196.5733   11.0875   16487   344.0544  
  8192     196.5767   10.3767   9611    352.0373  
  232324   196.5829   11.1003   16445   343.3944  
  713155   196.6033   9.9431    14609   357.9241  
  232460   196.6375   12.4711   12932   339.3291  
  232325   196.6479   11.5519   16311   337.1088  
  232461   196.6513   12.4611   12965   338.4629  
  713160   196.6813   9.6531    16953   359.5382  
  713161   196.6904   9.9836    14546   352.2723  
  713165   196.7079   9.6539    15980   358.0517  
  713166   196.7167   9.6392    16019   357.8945  
  713167   196.7292   10.9603   16410   336.0776  
  230085   196.7375   13.22     10576   341.4803  
  713168   196.7446   9.5119    16710   359.2546  
  713169   196.7542   9.8097    17032   352.1687  
  713170   196.7563   9.6178    16743   356.1968  
  713171   196.7571   10.9653   17477   334.4069  
  713172   196.7571   9.6344    16415   355.7786  
  232244   196.7571   13.0172   8125    337.634   
  230088   196.7612   13.6372   8249    347.0405  
  230089   196.7625   13.0747   8127    338.0586  
  713173   196.7646   13.6369   8186    346.8505  
  713174   196.7754   9.6158    16536   355.189   
  713175   196.7954   9.6453    13613   353.4317  
  713176   196.7975   9.6258    16357   353.7536  
  232245   196.7996   11.1681   7434    330.2278  
  713177   196.81     9.7797    9925    349.704   
  232568   196.8204   13.3647   16387   339.0107  
  230094   196.8225   13.6467   8030    343.8231  
  735125   196.8242   10.81     3260    332.1111  
  713178   196.8467   9.4847    16315   354.343   
  713179   196.8658   9.6469    16426   349.5314  
  232246   196.8708   11.7133   7494    323.6489  
  232247   196.8796   12.3578   6745    324.5202  
  232569   196.8908   14.0086   16455   347.5484  
  713180   196.9171   9.7964    16643   343.429   
