# agcnum radeg    decdeg distMpc Vcmb   logL_V logMH gas2L_V AbsMag_i logL_i  gas2L_i sepmin
  232218 201.855  11.884 105.1   7356.0 10.29  9.29  -1.0019 -21.18   10.3041 -1.0141 31.35 
  232504 202.0842 12.762 110.0   7699.0 9.3    9.54  0.2437  -18.42   9.1987  0.3413  60.94 
  232507 202.1492 12.066 104.7   7326.0 9.85   9.41  -0.4408 -20.29   9.9464  -0.5364 21.44 
  230351 202.1671 12.711 110.9   7765.0 10.45  9.63  -0.8237 -21.77   10.5382 -0.9082 56.72 
  232392 202.2179 11.756 106.3   7438.0 9.35   9.6   0.2476  -18.75   9.3309  0.2691  9.72  
  230356 202.2675 12.238 107.8   7544.0 10.34  9.72  -0.6219 -21.41   10.3975 -0.6775 27.75 
  232509 202.2917 12.769 105.9   7412.0 9.19   9.46  0.2651  -18.65   9.2914  0.1686  59.04 
  8475   202.3575 11.008 101.8   7123.0 10.35  10.66 0.3138  -21.49   10.4285 0.2315  46.87 
  230367 202.3979 11.697 97.6    6835.0 9.9    9.3   -0.6003 -20.32   9.9608  -0.6608 5.58  
  232407 202.4608 11.35  100.4   7027.0 9.3    9.38  0.0802  -18.6    9.272   0.108   26.74 
  8486   202.4867 11.072 100.6   7039.0 10.15  9.64  -0.5135 -20.76   10.1357 -0.4957 43.46 
  233873 202.5575 11.544 99.5    6967.0 9.2    9.24  0.0449  -18.21   9.1141  0.1259  18.01 
  233637 202.5887 12.484 106.9   7481.0 7.68   9.14  1.4573  -13.77   7.3402  1.7998  43.46 
  230380 202.6662 11.595 107.6   7529.0 10.21  9.48  -0.7316 -20.97   10.2202 -0.7402 20.45 
  232292 202.7658 11.027 108.9   7621.0 9.43   9.15  -0.2824 -18.93   9.4033  -0.2533 51.04 
  230389 202.8412 10.726 94.1    6590.0 9.91   9.74  -0.1745 -20.22   9.919   -0.179  69.3  
  232412 202.9771 11.807 103.6   7249.0 9.15   9.08  -0.0736 -18.34   9.1663  -0.0863 35.08 
  230417 203.3283 11.117 112.8   7896.0 9.95   9.75  -0.2006 -20.44   10.0063 -0.2563 68.8  
