# agcnum radeg    decdeg distMpc Vcmb   logL_V logMH gas2L_V AbsMag_i logL_i  gas2L_i sepmin
  232245 196.7996 11.168 110.8   7753.0 9.92   9.89  -0.0318 -19.95   9.8106  0.0794  330.23
  232246 196.8708 11.713 112.0   7843.0 9.58   9.35  -0.2302 -19.4    9.5916  -0.2416 323.65
  232247 196.8796 12.358 100.5   7035.0 9.06   9.13  0.0708  -18.14   9.0874  0.0426  324.52
  233779 197.0129 11.3   112.4   7867.0 9.68   9.69  0.0119  -19.39   9.5861  0.1039  316.86
  233610 197.0712 11.806 111.7   7818.0 8.49   9.34  0.854   -16.41   8.3966  0.9434  311.79
  232250 197.0892 11.515 111.3   7793.0 9.04   9.26  0.2174  -17.96   9.0158  0.2442  311.34
  232216 197.1192 10.669 108.6   7602.0 9.79   9.25  -0.5371 -19.93   9.8027  -0.5527 316.8 
  232252 197.2642 11.782 97.3    6813.0 9.0    9.19  0.1941  -17.73   8.9257  0.2643  300.48
  8232   197.2729 11.634 112.1   7844.0 10.86  9.66  -1.2039 -22.82   10.9618 -1.3018 300.19
  230122 197.4525 11.651 110.3   7718.0 10.14  10.0  -0.1428 -20.9    10.1928 -0.1928 289.6 
  233613 197.7437 13.807 98.9    6925.0 8.61   9.04  0.4285  -16.76   8.5368  0.5032  297.06
  230157 198.0404 11.236 109.7   7677.0 10.22  9.32  -0.8957 -21.16   10.2952 -0.9752 257.28
  231638 198.3525 8.04   105.9   7414.0 10.09  9.63  -0.4567 -20.46   10.0153 -0.3853 327.45
  8306   198.3938 15.991 101.2   7083.0 10.9   10.11 -0.788  -22.65   10.8924 -0.7824 342.73
  232258 198.4483 13.679 102.1   7148.0 9.39   9.03  -0.357  -18.88   9.3823  -0.3523 256.52
  238739 198.585  7.776  89.6    6269.0 8.67   9.28  0.6052  -16.78   8.5421  0.7379  329.06
  233621 198.7637 16.085 97.5    6828.0 10.0   9.75  -0.2544 -20.51   10.0362 -0.2862 332.83
  230199 198.835  13.091 111.7   7822.0 10.34  9.99  -0.3548 -21.6    10.4715 -0.4815 221.91
  232343 198.8446 11.766 99.4    6955.0 10.01  9.25  -0.7607 -20.4    9.9902  -0.7402 207.66
  231318 198.9646 8.039  107.0   7489.0 10.24  10.1  -0.1449 -20.8    10.1536 -0.0536 302.23
