# agcnum radeg    decdeg  vhel  sepmin 
  230320 201.38   11.825  11831 58.7711
  232372 201.4179 11.5606 12833 58.1636
  232285 201.5933 10.9686 17675 67.5411
  232218 201.855  11.8836 7068  31.3534
  232380 201.89   11.7303 4228  28.9954
  232504 202.0842 12.7622 7414  60.9372
  232385 202.1171 11.9975 13740 19.8843
  232507 202.1492 12.0656 7040  21.4419
  230351 202.1671 12.7108 7480  56.7243
  233559 202.1971 10.9614 1092  50.7864
  232391 202.2175 11.0969 4262  42.5863
  232392 202.2179 11.7558 7151  9.7227 
  230356 202.2675 12.2378 7258  27.747 
  232509 202.2917 12.7689 7127  59.0442
  232510 202.3175 12.7014 13796 54.8891
  232401 202.3379 11.3367 14295 27.2293
  8475   202.3575 11.0078 6835  46.8687
  230366 202.3783 11.7456 7709  2.5852 
  230367 202.3979 11.6972 6549  5.5833 
  230369 202.4288 12.19   12198 24.2527
  232407 202.4608 11.35   6740  26.7421
  8486   202.4867 11.0719 6752  43.4551
  230378 202.5158 12.1753 13411 24.5315
  233873 202.5575 11.5439 6681  18.0106
  233636 202.5633 12.8422 7710  64.1235
  233637 202.5887 12.4836 7197  43.4605
  230380 202.6663 11.5947 7244  20.4498
  232408 202.7004 11.0653 16733 47.3141
  232525 202.7179 12.0969 14071 27.1235
  232526 202.7492 12.5961 14140 53.067 
  232280 202.7504 11.4883 11096 28.2562
  232292 202.7658 11.0267 7335  51.0386
  230389 202.8412 10.7258 6304  69.3026
  232530 202.9179 12.6244 14042 59.2457
  232412 202.9771 11.8067 6965  35.084 
  232413 203.0704 11.1978 9546  53.8938
  232414 203.2688 11.0758 8205  67.5335
  230417 203.3283 11.1169 7612  68.804 
  233808 203.3321 11.2769 12457 63.8377
  233876 203.4863 11.4869 11251 67.4826
