# agcnum   radeg      decdeg    vhel    sepmin    
  232458   196.4404   12.0525   10962   349.0429  
  232459   196.5271   12.5258   16376   346.1284  
  8192     196.5767   10.3767   9686    352.0373  
  230077   196.5971   10.4333   930     350.0332  
  232325   196.6479   11.5519   16304   337.1088  
  232461   196.6513   12.4611   13319   338.4629  
  713167   196.7292   10.9603   16393   336.0776  
  230085   196.7375   13.22     10579   341.4803  
  230089   196.7625   13.0747   8248    338.0586  
  233609   196.7983   13.6592   8143    345.3961  
  232245   196.7996   11.1681   7448    330.2278  
  713177   196.81     9.7797    9925    349.704   
  232246   196.8708   11.7133   7539    323.6489  
  232247   196.8796   12.3578   6732    324.5202  
  232569   196.8908   14.0086   16409   347.5484  
  713182   196.9388   10.5294   16453   329.0807  
  232248   196.9808   14.1728   8190    346.5429  
  232249   197.0033   14.2317   8305    346.7887  
  233780   197.0096   9.9564    3148    334.9753  
  233779   197.0129   11.3003   7562    316.8628  
  233610   197.0713   11.8061   7515    311.7942  
  233611   197.0838   14.6233   10208   353.0055  
  232250   197.0892   11.5153   7489    311.3364  
  713186   197.0929   9.315     14719   345.3493  
  232216   197.1192   10.6689   7297    316.8046  
  232463   197.1267   12.9653   10839   315.8548  
  233783   197.1742   9.1944    3124    344.2893  
  233790   197.1962   9.9178    16229   325.4162  
  232251   197.2258   13.4569   7642    317.9283  
  232252   197.2642   11.7817   6510    300.4769  
  8232     197.2729   11.6336   7541    300.187   
  232253   197.2729   13.8053   3344    322.3625  
  713196   197.2733   9.4769    14928   331.5228  
  232326   197.4033   12.0281   16349   292.5233  
  713202   197.4046   9.5286    13504   323.1754  
  230122   197.4525   11.6514   7415    289.6002  
  233759   197.4592   13.1331   153     299.3573  
  232327   197.4929   11.5322   16205   287.5825  
  230128   197.5112   11.4519   16275   286.8464  
  232274   197.5488   13.8544   3349    308.6111  
  233791   197.5621   8.7514    14208   337.7794  
  233760   197.6083   12.6258   145     284.2935  
  233612   197.6104   14.6006   8427    325.69    
  232464   197.6338   12.6831   10799   283.4264  
  8253     197.6829   11.7072   3325    275.9616  
  713213   197.7138   8.7464    9815    330.4441  
  8255     197.7354   11.4767   3365    273.5888  
  232276   197.7388   11.9083   8607    272.6334  
  233613   197.7437   13.8072   6628    297.0575  
  233761   197.7992   13.2825   146     282.8634  
  233614   197.8279   12.6664   10781   272.0693  
  233762   197.8338   12.8842   87      274.4568  
  233615   197.8571   15.5306   3474    346.2861  
  230146   197.8821   8.7431    3995    322.3225  
  232331   197.8904   11.4617   8990    264.5747  
  232332   197.9042   11.1564   9538    265.9005  
  230148   197.935    9.11      13427   307.5785  
  713222   197.9521   9.8797    9911    284.9547  
  230151   197.9529   10.6022   9443    270.1114  
  232082   197.9833   11.0969   9427    261.8623  
  230152   197.9837   12.3531   8676    260.1534  
  230153   197.9908   14.5664   7973    305.7949  
  230157   198.0404   11.2361   7375    257.2787  
  232084   198.0504   14.6539   7807    305.7642  
  232466   198.0629   12.9075   8564    261.7809  
  232467   198.0725   12.8683   3369    260.6626  
  232335   198.0892   11.6731   9059    252.1665  
  230160   198.0908   12.1731   3356    252.7961  
  230162   198.1017   8.655     15042   314.8841  
  238883   198.1025   11.2156   142     253.8327  
  233617   198.125    15.3211   3470    326.3379  
  233616   198.1337   12.9561   8490    258.5224  
  232337   198.1571   11.8119   10069   248.0225  
  8289     198.1663   12.5994   3363    251.8597  
  232338   198.1671   11.9764   10112   247.6131  
  232469   198.1788   12.8064   8892    253.743   
  233763   198.1833   13.5217   129     266.7701  
  232473   198.2654   12.4206   7725    244.3429  
  233619   198.2683   12.7133   8915    247.3796  
  8296     198.2921   9.69      3989    271.8791  
  233830   198.3304   10.1133   183     258.8528  
  8298     198.3321   10.1936   1157    256.9008  
  231638   198.3525   8.0403    7108    327.4468  
  8306     198.3937   15.9914   6792    342.734   
  232339   198.3975   11.9222   9494    233.9892  
  232340   198.4146   11.8528   9410    232.9104  
  232475   198.4325   12.7714   3381    238.8203  
  232258   198.4483   13.6789   6853    256.5192  
  232576   198.4608   13.7681   7641    258.243   
  232342   198.4854   11.7747   9347    228.7525  
  233620   198.5008   12.2353   10079   229.2238  
  230185   198.5821   13.5072   7684    245.0827  
  238739   198.585    7.7764    5963    329.0596  
  238780   198.6333   7.0869    11736   358.7845  
  233793   198.6471   9.2236    13391   268.6498  
  238610   198.6663   13.3242   108     236.1967  
  232577   198.6683   13.3264   8419    236.136   
  232643   198.7346   7.0703    13756   355.9118  
  230192   198.7504   10.0286   13114   238.4839  
  233621   198.7637   16.085    6539    332.8276  
