# agcnum   radeg      decdeg   distMpc   Vcmb      logL_V   logMH   gas2L_V   AbsMag_i   logL_i    gas2L_i   sepmin  
  232458   196.4404   12.052   161.0     11267.0   10.38    9.81    -0.5669   -21.42     10.401    -0.591    349.04  
  232459   196.5271   12.526   238.3     16680.0   10.17    10.13   -0.0376   -20.77     10.1394   -0.0094   346.13  
  8192     196.5767   10.377   142.8     9994.0    10.66    10.18   -0.4795   -22.3      10.7503   -0.5703   352.04  
  230077   196.5971   10.433   16.6      1237.0    7.08     8.64    1.5624    -11.77     6.5406    2.0994    350.04  
  232325   196.6479   11.552   237.3     16609.0   10.33    10.17   -0.1575   -21.44     10.4077   -0.2377   337.11  
  232461   196.6512   12.461   194.6     13622.0   10.46    10.27   -0.1946   -21.37     10.379    -0.109    338.46  
  713167   196.7292   10.96    238.6     16699.0   10.09    10.23   0.1386    -20.53     10.0423   0.1877    336.08  
  230085   196.7375   13.22    155.4     10881.0   9.83     9.73    -0.0978   -19.95     9.8105    -0.0805   341.48  
  230089   196.7625   13.075   122.1     8550.0    10.38    9.82    -0.5629   -21.56     10.4563   -0.6363   338.06  
  233609   196.7983   13.659   120.6     8444.0    9.62     9.98    0.3627    -19.51     9.6365    0.3435    345.4   
  232245   196.7996   11.168   110.8     7753.0    9.92     9.89    -0.0318   -19.95     9.8106    0.0794    330.23  
  713177   196.81     9.78     146.2     10233.0   10.04    9.62    -0.4188   -20.25     9.9309    -0.3109   349.7   
  232246   196.8708   11.713   112.0     7843.0    9.58     9.35    -0.2302   -19.4      9.5916    -0.2416   323.65  
  232247   196.8796   12.358   100.5     7035.0    9.06     9.13    0.0708    -18.14     9.0874    0.0426    324.52  
  232569   196.8908   14.009   238.7     16708.0   10.0     10.25   0.2477    -20.36     9.977     0.273     347.55  
  713182   196.9388   10.529   239.4     16759.0   9.97     10.17   0.2026    -20.35     9.9739    0.1961    329.08  
  232248   196.9808   14.173   121.3     8489.0    9.38     9.51    0.1311    -18.68     9.3031    0.2069    346.54  
  232249   197.0033   14.232   122.9     8604.0    9.86     9.87    0.0146    -19.79     9.7469    0.1231    346.79  
  233779   197.0129   11.3     112.4     7867.0    9.68     9.69    0.0119    -19.39     9.5861    0.1039    316.86  
  233780   197.0104   9.956    47.2      3455.0    8.95     8.51    -0.4424   -17.76     8.9347    -0.4247   334.93  
  233610   197.0712   11.806   111.7     7818.0    8.49     9.34    0.854     -16.41     8.3966    0.9434    311.79  
