#  AGC    V21 eV21  Wid eWid   Flux  eFlx   SNR   rms   Code
238632   6792   6   157  12    1.23  0.07   10.4  2.11   1
232436  11824   3   159   7    0.84  0.09    6.0  2.49   2
238633   6760   2   110   4    0.80  0.05    8.6  1.98   1
231532   6922   2   210   4    1.73  0.07   13.7  1.93   1
238634   6574   3    75   5    1.43  0.05   17.3  2.12   1
230792  11296   4   330   8    1.69  0.09    9.9  2.10   1
238635   5672   6    84  12    0.97  0.06   10.3  2.27   1
232158   6949   7    70  14    0.53  0.06    6.5  2.15   2
238636   4872   2    45   5    0.63  0.04    9.9  2.10   1
230801   6857   2   146   4    1.55  0.07   12.6  2.28   1
238637   6958   1   186   2    1.68  0.06   16.0  1.72   1
238638  12659   3   107   7    0.68  0.06    6.5  2.26   1
233581   6952   8   326  15    4.98  0.08   34.9  1.76   1
238639   7163   6    42  12    0.67  0.05   10.8  2.11   1
238640   6788   3   150   5    0.88  0.06    8.1  1.97   1
231014   7198  25   232  50    1.32  0.08    8.8  2.19   1
230831   6778   6   240  12    3.52  0.08   23.4  2.17   1
238642   7294   2   396   3    3.94  0.11   19.5  2.27   1
238643   1220   4    45   7    0.34  0.03    6.1  1.81   1
238644   6791   9   125  19    1.00  0.07   10.5  1.91   1
238645   6881   3   219   5    1.42  0.09    8.7  2.47   1
232440   6634   9   142  19    0.66  0.07    6.3  1.96   2
233565   4909   3    74   6    0.70  0.05    8.8  2.04   1
233583   4050   3   119   5    2.41  0.05   27.1  1.82   1
  8861   4893   2   205   4    3.47  0.07   28.4  1.91   1
232305  11185   4   338   8    1.30  0.12    6.1  2.57   2
232306  11428  20   255  40    1.13  0.10    6.3  2.51   2
230861   6868   5   251  10    2.48  0.07   20.1  1.74   1
230866   6188   6   331  12    1.81  0.10   10.3  2.17   1
230865   6107   2    53   4    2.08  0.05   29.7  2.12   1
232447  11914  50   287 100    0.78  0.10    4.6  2.22   2
  8871  16075  36   355  72    2.09  0.10   11.1  2.22   1
  8874   4373   3   263   6    7.33  0.09   49.7  2.03   1
231575   7077   5   192   9    0.71  0.07    5.6  2.05   1
  8878   6817   1   120   3    2.76  0.05   34.9  1.61   1
231576   4679  21   170  42    0.90  0.07    7.4  2.08   1
231122   4373   4    60   9    0.82  0.05   11.4  2.05   1
  8881   7051   3   413   5    7.74  0.11   40.6  2.06   1
230872   6830   5   221  10    1.79  0.07   13.7  1.96   1
238646   6858   6   244  11    1.45  0.07   11.5  1.81   1
232563  17020  67   509 135    2.07  0.13    7.7  2.35   1
232226   6950   3   147   6    0.69  0.05    7.4  1.70   1
233921   6213  26   200  51    0.67  0.08    4.6  2.28   2
  8886   5116  39   617  78    1.70  0.14    5.4  2.26   2
238652   7317   5    39  10    0.43  0.04    7.2  2.09   1
231119   7283   3    73   7    0.80  0.05    9.9  2.09   1
  8890   4299   4   383   9    1.44  0.09    8.7  1.90   1
232635  16525  32   313  64    1.22  0.10    6.8  2.27   2
232636  16674   5   171   9    0.72  0.08    5.6  2.19   2
  8891   5213   1   361   2    6.65  0.09   37.9  2.06   1
233568   6775  14   279  28    1.20  0.09    8.1  1.97   1
  8896   4403   3   288   7    5.15  0.09   32.1  2.11   1
238647   7296  13   190  27    1.53  0.08   11.7  2.12   1
231120   7394   3   239   6    2.94  0.08   20.1  2.12   1
233569   6713   7   135  13    1.32  0.07   12.2  2.08   1
230898   6650   6    93  11    1.01  0.07   10.0  2.34   1
238625   4598   5   168   9    1.46  0.06   13.2  1.91   1
233924  11451   6   223  11    0.85  0.09    5.2  2.41   2
233570   5019   3   167   6    1.26  0.07   10.7  2.02   1
238649  16633   3   319   5    1.28  0.08    9.1  1.75   1
